CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;13:36:32.904;4.0;17:46.531;;56.167;33.064;14,116
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;13:38:18.451;5.0;1:45.547;20.702;51.765;33.08;142,640
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;13:40:02.647;6.0;1:44.196;20.379;51.161;32.656;144,489
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;13:52:57.840;7.0;10:52.020;;57.399;34.679;23,090
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;14:01:59.566;8.0;6:43.922;;1:08.282;;37,273
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;14:05:10.658;9.0;3:11.092;;54.028;33.559;78,785
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;13:33:22.157;1.0;8:00.223;;55.310;33.695;31,350
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;13:35:07.930;2.0;1:45.773;21.421;51.650;32.702;142,335
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;13:36:52.663;3.0;1:44.733;20.633;51.319;32.781;143,748
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;13:38:49.361;4.0;1:56.698;21.714;1:01.783;33.201;129,010
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;13:40:33.588;5.0;1:44.227;20.618;51.224;32.385;144,446
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;14:01:28.217;6.0;6:01.862;;52.601;33.806;41,605
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;14:03:16.126;7.0;1:47.909;22.470;52.551;32.888;139,518
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;54 - Caio Chaves - CHA;14:05:08.613;8.0;1:52.487;20.651;57.040;34.796;133,839
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:09:09.401;1.0;1:45.411;20.919;51.775;32.717;142,824
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:17:01.477;2.0;5:33.088;;55.140;35.67;45,199
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:18:46.629;3.0;1:45.152;20.587;51.510;33.055;143,176
