"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
111 - Neto CARLONI - TROPHY
"9:20:21.586","7","7","1:46.135","146,157","0,0","40.701","0,0","33.366","0,0","32.068","",""
"9:22:07.728","8","8","1:46.142","146,148","0,0","40.504","0,0","33.630","0,0","32.008","",""
"9:23:54.047","9","9","1:46.319","145,904","0,0","40.226","0,0","33.977","0,0","32.116","",""
"9:25:41.429","10","10","1:47.382","144,460","0,0","40.484","0,0","34.336","0,0","32.562","",""
"9:27:27.678","11","11","1:46.249","146,000","0,0","40.293","0,0","33.985","0,0","31.971","",""
"9:29:14.329","12","12","1:46.651","145,450","0,0","40.681","0,0","33.576","0,0","32.394","",""
"9:31:00.477","13","13","1:46.148","146,139","0,0","40.124","0,0","33.554","0,0","32.470","",""
22 - Eldo UMBELINO - SPORT
"9:09:30.831","1","1","1:49.694","141,415","0,0","43.703","0,0","34.047","0,0","31.944","",""
"9:11:39.437","2","2","2:08.606","120,620","0,0","1:02.783","0,0","33.853","0,0","31.970","",""
"9:13:24.560","3","3","1:45.123","147,564","0,0","39.845","0,0","33.250","0,0","32.028","",""
"9:15:09.781","4","4","1:45.221","147,427","0,0","40.359","0,0","33.074","0,0","31.788","",""
"9:16:55.722","5","5","1:45.941","146,425","0,0","39.814","0,0","33.317","0,0","32.810","",""
"9:18:42.053","6","6","1:46.331","145,888","0,0","41.277","0,0","33.327","0,0","31.727","",""
"9:20:27.781","7","7","1:45.728","146,720","0,0","40.482","0,0","33.348","0,0","31.898","",""
"9:22:12.963","8","8","1:45.182","147,482","0,0","40.312","0,0","33.038","0,0","31.832","",""
"9:23:59.077","9","9","1:46.114","146,186","0,0","41.126","0,0","33.110","0,0","31.878","",""
"9:25:44.303","10","10","1:45.226","147,420","0,0","39.856","0,0","33.448","0,0","31.922","",""
"9:27:30.081","11","11","1:45.778","146,651","0,0","39.911","0,0","33.646","0,0","32.221","",""
"9:29:15.453","12","12","1:45.372","147,216","0,0","39.813","0,0","33.546","0,0","32.013","",""
"9:31:01.782","13","13","1:46.329","145,891","0,0","40.263","0,0","33.565","0,0","32.501","",""
7 - Adriano VALVERDE - SPORT
"9:09:34.429","1","1","1:50.789","140,018","0,0","43.370","0,0","35.064","0,0","32.355","",""
"9:11:22.177","2","2","1:47.748","143,969","0,0","40.481","0,0","35.117","0,0","32.150","",""
"9:13:08.299","3","3","1:46.122","146,175","0,0","40.788","0,0","33.625","0,0","31.709","",""
"9:15:05.484","4","4","1:57.185","132,375","0,0","50.642","0,0","34.518","0,0","32.025","",""
"9:16:52.576","5","5","1:47.092","144,851","0,0","40.377","0,0","33.886","0,0","32.829","",""
"9:18:37.917","6","6","1:45.341","147,259","0,0","40.226","0,0","33.482","0,0","31.633","",""
"9:20:30.653","7","7","1:52.736","137,599","0,0","39.711","0,0","40.530","0,0","32.495","",""
"9:22:15.469","8","8","1:44.816","147,996","0,0","40.183","0,0","33.119","0,0","31.514","",""
"9:24:01.738","9","9","1:46.269","145,973","0,0","40.039","0,0","34.302","0,0","31.928","",""
"9:25:51.007","10","10","1:49.269","141,965","0,0","40.884","0,0","36.340","0,0","32.045","",""
"9:27:36.793","11","11","1:45.786","146,639","0,0","40.117","0,0","33.619","0,0","32.050","",""
"9:29:23.684","12","12","1:46.891","145,124","0,0","40.459","0,0","33.992","0,0","32.440","",""
"9:31:11.145","13","13","1:47.461","144,354","0,0","40.091","0,0","35.185","0,0","32.185","",""
11 - Paulo REALES - SPORT
"9:09:36.598","1","1","1:49.536","141,619","0,0","42.879","0,0","34.185","0,0","32.472","",""
"9:11:25.299","2","2","1:48.701","142,707","0,0","41.567","0,0","34.904","0,0","32.230","",""
"9:13:13.002","3","3","1:47.703","144,029","0,0","42.000","0,0","33.419","0,0","32.284","",""
"9:15:18.627","4","4","2:05.625","123,482","0,0","1:00.830","0,0","32.771","0,0","32.024","",""
"9:17:06.064","5","5","1:47.437","144,386","0,0","40.569","0,0","34.374","0,0","32.494","",""
"9:18:53.069","6","6","1:47.005","144,969","0,0","41.075","0,0","33.814","0,0","32.116","",""
"9:20:39.609","7","7","1:46.540","145,602","0,0","41.017","0,0","33.462","0,0","32.061","",""
"9:22:24.926","8","8","1:45.317","147,292","0,0","40.217","0,0","33.222","0,0","31.878","",""
"9:24:11.773","9","9","1:46.847","145,183","0,0","40.531","0,0","34.226","0,0","32.090","",""
"9:25:58.909","10","10","1:47.136","144,792","0,0","41.066","0,0","33.957","0,0","32.113","",""
"9:27:46.048","11","11","1:47.139","144,788","0,0","40.754","0,0","34.031","0,0","32.354","",""
"9:29:34.585","12","12","1:48.537","142,923","0,0","41.317","0,0","34.329","0,0","32.891","",""
"9:31:22.811","13","13","1:48.226","143,333","0,0","41.058","0,0","34.587","0,0","32.581","",""
51 - Rodrigo ARRUY - SPORT
"9:09:40.153","1","1","1:51.288","139,390","0,0","44.139","0,0","34.160","0,0","32.989","",""
"9:11:29.586","2","2","1:49.433","141,752","0,0","41.720","0,0","34.664","0,0","33.049","",""
"9:13:18.427","3","3","1:48.841","142,523","0,0","41.465","0,0","34.276","0,0","33.100","",""
"9:15:07.465","4","4","1:49.038","142,266","0,0","41.855","0,0","34.161","0,0","33.022","",""
"9:16:56.086","5","5","1:48.621","142,812","0,0","41.066","0,0","33.895","0,0","33.660","",""
"9:18:56.592","6","6","2:00.506","128,727","0,0","41.744","0,0","34.560","0,0","44.202","",""
"9:20:46.567","7","7","1:49.975","141,054","0,0","42.625","0,0","34.267","0,0","33.083","",""
"9:22:35.929","8","8","1:49.362","141,845","0,0","41.900","0,0","34.370","0,0","33.092","",""
"9:24:25.378","9","9","1:49.449","141,732","0,0","42.204","0,0","34.452","0,0","32.793","",""
"9:26:14.944","10","10","1:49.566","141,580","0,0","42.004","0,0","34.396","0,0","33.166","",""
"9:28:04.576","11","11","1:49.632","141,495","0,0","42.102","0,0","34.610","0,0","32.920","",""
"9:29:55.002","12","12","1:50.426","140,478","0,0","42.039","0,0","34.530","0,0","33.857","",""
"9:31:43.641","13","13","1:48.639","142,789","0,0","41.813","0,0","34.023","0,0","32.803","",""
45 - Luis E. LOPES - SPORT
"9:09:37.232","1","1","1:49.231","142,015","0,0","42.671","0,0","33.920","0,0","32.640","",""
"9:11:25.903","2","2","1:48.671","142,746","0,0","41.379","0,0","34.994","0,0","32.298","",""
"9:13:12.971","3","3","1:47.068","144,884","0,0","41.201","0,0","33.024","0,0","32.843","",""
"9:15:54.577","4","4","2:41.606","95,989","0,0","40.446","0,0","33.767","0,0","1:27.393","",""
"9:17:40.780","5","5","1:46.203","146,064","0,0","40.647","0,0","33.758","0,0","31.798","",""
"9:19:26.196","6","6","1:45.416","147,154","0,0","39.926","0,0","33.512","0,0","31.978","",""
"9:21:12.127","7","7","1:45.931","146,439","0,0","39.699","0,0","34.625","0,0","31.607","",""
"9:22:59.161","8","8","1:47.034","144,930","0,0","39.802","0,0","34.208","0,0","33.024","",""
"9:24:44.233","9","9","1:45.072","147,636","0,0","40.056","0,0","33.126","0,0","31.890","",""
"9:26:29.286","10","10","1:45.053","147,663","0,0","39.994","0,0","33.260","0,0","31.799","",""
"9:28:14.446","11","11","1:45.160","147,512","0,0","39.937","0,0","33.454","0,0","31.769","",""
"9:30:00.543","12","12","1:46.097","146,210","0,0","40.034","0,0","33.696","0,0","32.367","",""
"9:31:46.977","13","13","1:46.434","145,747","0,0","40.375","0,0","33.569","0,0","32.490","",""
13 - Letícia BUFONI - TROPHY
"9:09:30.478","1","1","1:50.308","140,628","0,0","44.488","0,0","33.870","0,0","31.950","",""
"9:11:16.286","2","2","1:45.808","146,609","0,0","40.605","0,0","33.623","0,0","31.580","",""
"9:13:01.236","3","3","1:44.950","147,808","0,0","40.074","0,0","33.274","0,0","31.602","",""
