Piloto;SUBCATEGORIA;;;;;
2 - L.Souza / B.Bonifacio - CHA S;CHALLENGE SPORT;;;;;
999 - C.Reina / J.Gonçalves - CHA R;CHALLENGE ROOKIE;;;;;
15 - R.Martins / L.Sanchez - CAR R;CARRERA ROOKIE;;;;;
11 - F.Sampaio / B.Pinheiro - CAR R;CARRERA ROOKIE;;;;;
21 - D.Neumann / G.Bandeira - CHA R;CHALLENGE ROOKIE;;;;;
83 - Mar.Billi / Mau.Billi - CAR R;CARRERA ROOKIE;;;;;
74 - P.Cifali / A.Bragantini Jr. - CAR R;CARRERA ROOKIE;;;;;
246 - R.Brocchi / V.Genz - CHA R;CHALLENGE ROOKIE;;;;;
98 - C.Rabelo / P.Rimbano - CHA S;CHALLENGE SPORT;;;;;
66 - S.Leite / F.Carbone - CHA;CHALLENGE;;;;;
23 - L.Herrmann / V.Baptista - CHA;CHALLENGE;;;;;
99 - W.Pontes / R.Reis - CAR R;CARRERA ROOKIE;;;;;
17 - R.Mello / M.Regadas - CAR S;CARRERA SPORT;;;;;
888 - L.Pires / B.Gresse - CAR S;CARRERA SPORT;;;;;
15 - L.Sanchez / R.Martins - CAR R;CARRERA ROOKIE;;;;;
2 - B.Bonifacio / L.Souza - CHA S;CHALLENGE SPORT;;;;;
118 - M.Comparatto / M.Ferreira - CAR;CARRERA;;;;;
95 - A.Feldmann Neto / G.Casagrande - CAR S;CARRERA SPORT;;;;;
33 - B.Campos / N.Costa - CAR R;CARRERA ROOKIE;;;;;
13 - B.Sousa / A.Felix da Costa - CAR;CARRERA;;;;;
22 - C.Castro / D.Dirani - CHA;CHALLENGE;;;;;
21 - D.Neumann / G.Bandeira D.NEUMANN / G.Bandeira - CHA R;CARRERA ROOKIE;;;;;
166 - M.Caetano / J.Posser - CAR R;CARRERA ROOKIE;;;;;
17 - M.Regadas / R.Mello - CAR S;CARRERA SPORT;;;;;
83 - Mar.Billi / G.di Mauro - CAR S;CARRERA SPORT;;;;;
88 - P.Boesel / E.Fittipaldi - CAR;CARRERA;;;;;
