"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
32 - Matheus Roque - CHA S
"13:09:30.979","1","1:49.891","137,001","162,3","21.754","67,0","54.363","231,3","33.774","246,0","0.439"
"13:17:13.412","2","5:24.540","46,389","","","66,6","54.664","231,4","33.766","",""
"13:19:00.893","3","1:47.481","140,073","167,9","21.029","68,8","52.934","233,1","33.518","250,0","0.432"
"13:20:47.964","4","1:47.071","140,610","168,1","21.014","69,0","52.793","234,8","33.264","248,3","0.435"
"13:29:05.838","5","8:17.874","30,239","166,5","21.210","66,2","55.067","","","250,0","0.432"
"13:37:08.633","6","8:02.795","31,183","","","62,8","58.038","227,7","34.309","",""
"13:38:56.637","7","1:48.004","139,395","167,2","21.119","68,1","53.497","234,0","33.388","248,3","0.435"
"13:40:42.266","8","1:45.629","142,529","169,6","20.819","70,0","52.065","238,6","32.745","251,2","0.430"
"13:52:18.452","9","9:21.476","26,814","","","67,9","53.654","234,7","33.279","",""
"13:54:33.774","10","2:15.322","111,255","168,4","20.970","61,6","59.172","","","248,3","0.435"
"14:01:08.814","11","6:35.040","38,111","","","67,6","53.895","234,8","33.276","",""
"14:02:54.299","12","1:45.485","142,724","171,3","20.619","70,2","51.911","237,1","32.955","251,7","0.429"
"14:04:39.192","13","1:44.893","143,529","170,9","20.664","70,8","51.479","238,5","32.750","250,0","0.432"
"14:06:23.651","14","1:44.459","144,125","171,8","20.551","71,4","51.027","237,6","32.881","252,9","0.427"
33 - William Araujo - CHA R
"13:09:03.169","1","1:48.563","138,677","161,1","21.919","69,2","52.642","229,8","34.002","248,3","0.435"
"13:16:19.988","2","5:20.151","47,025","","","69,3","52.565","230,4","33.905","",""
"13:18:05.969","3","1:45.981","142,056","170,6","20.707","70,6","51.616","232,1","33.658","252,3","0.428"
"13:19:52.511","4","1:46.542","141,308","164,5","21.467","70,5","51.698","234,1","33.377","251,7","0.429"
